system,rep,agents,commits_per_agent,total_commits,elapsed_ns,commits_per_sec,verified_count
git-default,1,16,20,320,1222449030,261.770,320
git-default,2,16,20,320,1268434976,252.279,320
git-default,3,16,20,320,1368879949,233.768,320
git-durable,1,16,20,320,1215272148,263.316,320
git-durable,2,16,20,320,1244309618,257.171,320
git-durable,3,16,20,320,1165995511,274.444,320
jj,1,16,20,320,43342193576,7.383,320
jj,2,16,20,320,41751915492,7.664,320
jj,3,16,20,320,43098697182,7.425,320
mercurial,1,16,20,320,55398250764,5.776,320
mercurial,2,16,20,320,55512922960,5.764,320
mercurial,3,16,20,320,56718410690,5.642,320
sapling,1,16,20,320,71035049661,4.505,320
sapling,2,16,20,320,70987078600,4.508,320
sapling,3,16,20,320,71292787428,4.489,320
fossil,1,16,20,320,39665307749,8.068,320
fossil,2,16,20,320,40082984860,7.983,320
fossil,3,16,20,320,39935341962,8.013,320
pijul,1,16,20,320,984020880,325.196,320
pijul,2,16,20,320,1093261905,292.702,320
pijul,3,16,20,320,1036991851,308.585,320
oxen,1,16,20,320,3617650989,88.455,320
oxen,2,16,20,320,3653068238,87.598,320
oxen,3,16,20,320,4030894921,79.387,320
twigg,1,16,20,320,2603706572,122.902,320
twigg,2,16,20,320,2525914025,126.687,320
twigg,3,16,20,320,2515205404,127.226,320
claw,1,16,20,320,2197047884,145.650,320
claw,2,16,20,320,1952298158,163.909,320
claw,3,16,20,320,2003485777,159.722,320
forgejo,1,16,20,320,22035080359,14.522,320
forgejo,2,16,20,320,22208415319,14.409,320
forgejo,3,16,20,320,21735379639,14.723,320
